Организация;Год;Фамилия и инициалы лица, чьи сведения размещаются;Владелец;Должность;вид объекта;вид собственности;площадь (кв. м);страна расположения;вид объекта;площадь (кв. м);страна расположения;Транспортные средства (вид, марка);Декларированный годовой доход <1> (руб.);Сведения об источниках получения средств, за счет которых совершена сделка <2> (вид приобретенного имущества, источники)
"Прокуратура Республики Коми";"2015";"Бондарев Г.И.";"супруга";"";"";"";"";"";"квартира";"37.9";"Россия";"";"335905.89";""
"Прокуратура Республики Коми";"2015";"Бондарев Г.И.";"супруга";"";"";"";"";"";"квартира";"43.1";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Бондарев Г.И.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"37.9";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Бондарев Г.И.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"43.1";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Бондарев Г.И.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"37.9";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Бондарев Г.И.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"43.1";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Соколов И.Н.";"";"прокурор Койгородского района";"квартира";"½ долевая";"63.5";"Россия";"квартира";"71.5";"Россия";"автомобиль ВАЗ 21013";"2619635.31";""
"Прокуратура Республики Коми";"2015";"Соколов И.Н.";"супруга";"";"";"";"";"";"квартира";"71.5";"Россия";"автомобиль ШЕВРОЛЕ ЛАЧЕТТИ";"309628.2";""
"Прокуратура Республики Коми";"2015";"Соколов И.Н.";"супруга";"";"";"";"";"";"квартира";"38.799999999999997";"Россия";"автомобиль ШЕВРОЛЕ НИВА";"";""
"Прокуратура Республики Коми";"2015";"Соколов И.Н.";"несовершеннолетний ребенок";"";"квартира";"½ долевая";"63.5";"Россия";"квартира";"71.5";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Соколов И.Н.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"71.5";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Шустов Б.А.";"";"прокурор Удорского района";"квартира";"общая совместная с супругой";"111.2";"Россия";"квартира";"48.3";"Россия";"";"4109184.44";"доход от продажи квартиры в сумме 3850000, договор ипотечного  кредитования в сумме 2500000, собственные средства в сумме 650000"
"Прокуратура Республики Коми";"2015";"Шустов Б.А.";"супруга";"";"квартира";"общая совместная с супругом";"111.2";"Россия";"квартира";"48.3";"Россия";"";"1946354.55";""
"Прокуратура Республики Коми";"2015";"Шустов Б.А.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"48.3";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Шустов Б.А.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"111.2";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Рочев П.Л.";"";"прокурор Усть-Вымского района";"квартира";"¼ долевая";"57";"Россия";"квартира";"75";"Россия";"автомобиль ФОЛЬКСВАГЕН ДЖЕТТА";"2071128";""
"Прокуратура Республики Коми";"2015";"Рочев П.Л.";"";"";"";"";"";"";"";"";"";"снегоход СТЕЛС 600 ВИКИНГ";"";""
"Прокуратура Республики Коми";"2015";"Рочев П.Л.";"супруга";"";"квартира";"¼ долевая";"57";"Россия";"квартира";"75";"Россия";"автомобиль ВАЗ 21043";"325903";""
"Прокуратура Республики Коми";"2015";"Рочев П.Л.";"супруга";"";"";"";"";"";"";"";"";"автомобиль СУЗУКИ СХ 4";"";""
"Прокуратура Республики Коми";"2015";"Рочев П.Л.";"несовершеннолетний ребенок";"";"квартира";"¼ долевая";"57";"Россия";"квартира";"75";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Рочев П.Л.";"несовершеннолетний ребенок";"";"квартира";"¼ долевая";"57";"Россия";"квартира";"75";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Лапшин О.В.";"";"прокурор Троицко-Печорского района";"квартира";"индивидуальная";"93.6";"Россия";"квартира";"52";"Россия";"автомобиль НИССАН ПАТФАЙНДЕР";"2111714.4500000002";""
"Прокуратура Республики Коми";"2015";"Лапшин О.В.";"";"";"дом";"¼ долевая";"55";"Россия";"";"";"";"автомобиль УАЗ 3151210";"";""
"Прокуратура Республики Коми";"2015";"Лапшин О.В.";"супруга";"";"";"";"";"";"квартира";"52";"Россия";"";"44079.29";""
"Прокуратура Республики Коми";"2015";"Лапшин О.В.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"52";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Лапшин О.В.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"52";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Юхнин В.В.";"";"Печорский межрайонный прокурор";"квартира";"индивид";"53.8";"Россия";"квартира";"50.3";"Россия";"автомобиль КИА СПОРТЕЙДЖ";"2747025.28";""
"Прокуратура Республики Коми";"2015";"Юхнин В.В.";"";"";"квартира";"1/3 долевая";"64.8";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2015";"Юхнин В.В.";"супруга";"";"квартира";"1/3 долевая";"56.2";"Россия";"квартира квартира";"53.8";"Россия";"";"2322093.7000000002";""
"Прокуратура Республики Коми";"2015";"Юхнин В.В.";"супруга";"";"";"";"";"";"";"34.200000000000003";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Агапов С.А.";"";"прокурор Усть-Куломского района";"";"";"";"";"квартира";"36";"Россия";"автомобиль ЛАДА ПРИОРА";"2032275.66";""
"Прокуратура Республики Коми";"2015";"Агапов С.А.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"58";"Россия";"";"";""
"Прокуратура Республики Коми";"2015";"Немиров Д.М.";"";"прокурор Княжпогостского района";"квартира";"99/100 долевая";"67.599999999999994";"Россия";"квартира";"64.2";"Россия";"";"2330958.33";""
"Прокуратура Республики Коми";"2015";"Немиров Д.М.";"супруга";"";"квартира";"1/100 долевая";"67.599999999999994";"Россия";"квартира";"64.2";"Россия";"автомобиль КИА СПОРТЕЙДЖ";"403151.96";""
